fit,upr,lwr
0.07559018,41.10626,-40.955079
-0.56653896,41.04017,-42.173252
-0.90458516,41.2703,-43.079474
-1.3107464,41.42477,-44.046258
-3.031801,40.35157,-46.415177
-4.16159581,39.76698,-48.090174
-4.8391386,39.62796,-49.306236
-2.99113259,42.00804,-47.990304
-2.52602168,42.99901,-48.051049
-2.04034542,44.00453,-48.085224
-2.04915542,44.50977,-48.608081
-2.62168807,44.44567,-49.689047
-3.08053283,44.48983,-50.650891
-3.72266197,44.34543,-51.790757
-4.06070817,44.50002,-52.621437
-4.4668694,44.58155,-53.515286
-6.18792401,43.42599,-55.801838
-7.31771882,42.77363,-57.409067
-7.99526161,42.56901,-58.559536
-6.1472556,44.88556,-57.180074
-5.68214468,45.81496,-57.179245
-5.19646842,46.76076,-57.153701
-5.20527842,47.20805,-57.618604
-5.77781107,47.08767,-58.643296
-6.23665583,47.07715,-59.550464
-6.87878497,46.87961,-60.637179
-7.21683117,46.9825,-61.416163
-7.62299241,47.01372,-62.259705
-9.34404702,45.80089,-64.48898
-10.47384182,45.10103,-66.048713
-11.15138461,44.85012,-67.152894
-9.3033786,47.12154,-65.7283
-8.83826769,48.00691,-65.683448
-8.35259143,48.90976,-65.614945
-8.36140143,49.31511,-66.037912
-8.93393408,49.15378,-67.021649
-9.39277884,49.10325,-67.888807
-10.03490798,48.8666,-68.936419
-10.37295418,48.93127,-69.677176
-10.77911542,48.9251,-70.483332
